url,name,header,rating_n_reviews,price,superhost,ciudad
/rooms/907219?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-14&check_out=2024-01-19&source_impression_id=p3_1704999453_V2utga6ie%2Fe3bmyb&previous_page_section_name=1000&federated_search_id=9843f9d9-a02a-40d8-b7e8-8082ec49c056,Apartamento en Barcelona,Acogedor Apartamento Gaudí Barelona,"4,41 (123)",140 € por noche,Anfitrión profesional,Barcelona
/rooms/2391858?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-02-03&check_out=2024-02-08&source_impression_id=p3_1704999453_FUfI0M3AtSLS5AKL&previous_page_section_name=1000&federated_search_id=9843f9d9-a02a-40d8-b7e8-8082ec49c056,Apartamento en Barcelona,"Apartamento entero en ""El putxet""","4,55 (158)",95 € por noche,Anfitrión particular,Barcelona
/rooms/1023119452798452187?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-02-01&check_out=2024-02-06&source_impression_id=p3_1704999453_9uo%2F0jvarLflhoaO&previous_page_section_name=1000&federated_search_id=9843f9d9-a02a-40d8-b7e8-8082ec49c056,Apartamento en L'Hospitalet de Llobregat,C3 Conectado con el aeropuerto y el centro,"4,75 (8)",485 € por noche,Anfitrión profesional,Barcelona
/rooms/39350261?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-12&check_out=2024-01-17&source_impression_id=p3_1704999453_1Bs7bn5z9v8a5a0I&previous_page_section_name=1000&federated_search_id=9843f9d9-a02a-40d8-b7e8-8082ec49c056,Apartamento en Barcelona,JARDÍN PERDIDO: gran sala de estar con vistas especiales,"4,95 (98)","170 € por noche, inicialmente 189 €",Anfitrión particular,Barcelona
/rooms/2896610?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-21&check_out=2024-01-26&source_impression_id=p3_1704999454_z1xV%2FN3G24LreUGc&previous_page_section_name=1000&federated_search_id=57f2d99d-30f4-49c7-a0a3-67db425ee317,Apartamento en Eixample,Concepto vintage en un barrio chic,"4,86 (542)","143 € por noche, inicialmente 206 €",Anfitrión particular,Barcelona
/rooms/1150062?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-02-01&check_out=2024-02-06&source_impression_id=p3_1704999454_mhp5ocv6JIlQx4x0&previous_page_section_name=1000&federated_search_id=57f2d99d-30f4-49c7-a0a3-67db425ee317,Apartamento en Gràcia,Nuevo Apto. con terraza comunitaria 2º 1ª,"4,82 (163)",123 € por noche,Anfitrión profesional,Barcelona
/rooms/962065457996345477?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-14&check_out=2024-01-19&source_impression_id=p3_1704999454_zP9nc5i2XXYqq%2FZ3&previous_page_section_name=1000&federated_search_id=57f2d99d-30f4-49c7-a0a3-67db425ee317,Apartamento en Eixample,Mi dirección en Sant Antoni,"4,67 (15)",127 € por noche,Anfitrión profesional,Barcelona
/rooms/2885126?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-12&check_out=2024-01-17&source_impression_id=p3_1704999454_Pg3icezYQqVXZp2Q&previous_page_section_name=1000&federated_search_id=57f2d99d-30f4-49c7-a0a3-67db425ee317,Apartamento en Eixample,Central lado Ramblas A/C SAT WIFI,"4,59 (205)","116 € por noche, inicialmente 126 €",Anfitrión profesional,Barcelona
/rooms/359841?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-02-04&check_out=2024-02-09&source_impression_id=p3_1704999454_PpMMLkZcKrIEZu8N&previous_page_section_name=1000&federated_search_id=57f2d99d-30f4-49c7-a0a3-67db425ee317,Apartamento en El Poblenou,"BacRou,loft de diseño cerca del mar","4,69 (467)",117 € por noche,Anfitrión particular,Barcelona
/rooms/1028826994984392175?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-14&check_out=2024-01-19&source_impression_id=p3_1704999454_WBgCFEoCwKvIAXDH&previous_page_section_name=1000&federated_search_id=57f2d99d-30f4-49c7-a0a3-67db425ee317,Apartamento en El Raval,Barcelona studio,Nuevo,"63 € por noche, inicialmente 76 €",Anfitrión particular,Barcelona
/rooms/2626530?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-23&check_out=2024-01-28&source_impression_id=p3_1704999454_JHHlIDYWseGX4x1r&previous_page_section_name=1000&federated_search_id=57f2d99d-30f4-49c7-a0a3-67db425ee317,Apartamento en Eixample,"ÁTICO DÚPLEX, TERRAZA PRIVADA! LIMPIEZA DIARIA!","4,77 (272)",197 € por noche,Anfitrión profesional,Barcelona
/rooms/653638312452638458?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1664649736&check_in=2024-02-11&check_out=2024-02-16&source_impression_id=p3_1704999454_vLfsGy%2FeKG0Sjpzs&previous_page_section_name=1000&federated_search_id=57f2d99d-30f4-49c7-a0a3-67db425ee317,Habitación en El Poblenou,Preciosa habitación a cinco minutos de la playa de Mar Bella,"4,6 (50)",", ",Quédate con Татьяна,Barcelona
/rooms/44164897?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1035523309&check_in=2024-01-14&check_out=2024-01-19&source_impression_id=p3_1704999455_l9jWfN8Iq2WOrU%2Fh&previous_page_section_name=1000&federated_search_id=57f2d99d-30f4-49c7-a0a3-67db425ee317,Habitación en Distrito de Sants-Montjuïc,Sants dos camas individuales,"4,44 (9)",", ",Quédate con Néstor,Barcelona
/rooms/36272241?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-12&check_out=2024-01-17&source_impression_id=p3_1704999455_I8%2F5bhFmsR%2FwLESm&previous_page_section_name=1000&federated_search_id=57f2d99d-30f4-49c7-a0a3-67db425ee317,Apartamento en Gràcia,Genial 2BD + 2BTH con balcón en Gracia Virreina.,"4,53 (38)",122 € por noche,Anfitrión profesional,Barcelona
/rooms/790512115560289546?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-03-03&check_out=2024-03-09&source_impression_id=p3_1704999455_CGR9y3pq3yWUZwoE&previous_page_section_name=1000&federated_search_id=57f2d99d-30f4-49c7-a0a3-67db425ee317,Apartamento en Eixample,Pequeño barrio: apartamentos en Homecelona,"4,97 (60)",235 € por noche,Anfitrión particular,Barcelona
/rooms/3385725?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-13&check_out=2024-01-18&source_impression_id=p3_1704999455_w9IE34RJYx3COisk&previous_page_section_name=1000&federated_search_id=57f2d99d-30f4-49c7-a0a3-67db425ee317,Apartamento en Eixample,Increíbles vistas de la Sagrada Familia,"4,95 (330)",235 € por noche,Anfitrión particular,Barcelona
/rooms/1013615564487197599?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1791525584&check_in=2024-01-15&check_out=2024-01-20&source_impression_id=p3_1704999455_5jGPKKVDYY4kpSRL&previous_page_section_name=1000&federated_search_id=57f2d99d-30f4-49c7-a0a3-67db425ee317,Habitación en Eixample,"Habitación preciosa. Piso moderno y cálido, Paz:;",Nuevo,", ",Quédate con Carlos Alexandre,Barcelona
/rooms/2373057?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-14&check_out=2024-01-19&source_impression_id=p3_1704999455_uZjYGQSSOJc68g3Q&previous_page_section_name=1000&federated_search_id=57f2d99d-30f4-49c7-a0a3-67db425ee317,Apartamento en Eixample,Elegante y céntrico apartamento,"4,92 (346)",139 € por noche,Anfitrión particular,Barcelona
/rooms/907219?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-14&check_out=2024-01-19&source_impression_id=p3_1704999455_qKpn27YLBDhWwLaO&previous_page_section_name=1000&federated_search_id=57f2d99d-30f4-49c7-a0a3-67db425ee317,Apartamento en Gràcia,Acogedor Apartamento Gaudí Barelona,"4,41 (123)",140 € por noche,Anfitrión profesional,Barcelona
/rooms/24392074?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1517702195&check_in=2024-01-13&check_out=2024-01-18&source_impression_id=p3_1704999455_%2BNGOjNaaOVJYX4yA&previous_page_section_name=1000&federated_search_id=57f2d99d-30f4-49c7-a0a3-67db425ee317,Habitación en Barcelona,Habitación ideal parejas,"4,89 (206)",", ",Quédate con Elisabet,Barcelona
/rooms/558886?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-02-02&check_out=2024-02-07&source_impression_id=p3_1704999455_zl4xUxnfp9ajedVy&previous_page_section_name=1000&federated_search_id=57f2d99d-30f4-49c7-a0a3-67db425ee317,Apartamento en Eixample,Apartamento de 3 recamaras en el centro de Barcelona,"4,56 (209)","132 € por noche, inicialmente 172 €",Anfitrión particular,Barcelona
/rooms/2391858?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-02-03&check_out=2024-02-08&source_impression_id=p3_1704999455_ZYjsw68SjqSkHAzm&previous_page_section_name=1000&federated_search_id=57f2d99d-30f4-49c7-a0a3-67db425ee317,Apartamento en Sarrià-Sant Gervasi,"Apartamento entero en ""El putxet""","4,55 (158)",95 € por noche,Anfitrión particular,Barcelona
