url,name,header,ciudad,precio_por_noche,rating,review,valor_ciudad,Anfitrion particular,Anfitrion profesional
/rooms/18624094?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-14&check_out=2024-01-19&source_impression_id=p3_1705000521_hTi5HuT0DRuyFB2A&previous_page_section_name=1000&federated_search_id=ba8e6011-b9b1-49b3-946e-0511c0deac66,Apartamento en Valencia,DÚPLEX DE LUJO EN EL CASCO ANTIGUO CON APARCAMIENTO GRATUITO,valencia,155,4.9,348,3,0,1
/rooms/45683832?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-05-20&check_out=2024-05-25&source_impression_id=p3_1705000521_Op%2FpxHhINc%2BkTfEL&previous_page_section_name=1000&federated_search_id=ba8e6011-b9b1-49b3-946e-0511c0deac66,Apartamento en Valencia,Acogedor Loft en Ciutal vella de Valencia,valencia,77,4.86,101,3,1,0
/rooms/17301063?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-21&check_out=2024-01-26&source_impression_id=p3_1705000521_pCViUxjGkgeCG1AJ&previous_page_section_name=1000&federated_search_id=ba8e6011-b9b1-49b3-946e-0511c0deac66,Apartamento en Valencia,Moderno apartamento en el parque de cabecera!!,valencia,67,4.82,418,3,1,0
/rooms/34038526?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-14&check_out=2024-01-19&source_impression_id=p3_1705000521_PePeI6NGEx9s8g1E&previous_page_section_name=1000&federated_search_id=ba8e6011-b9b1-49b3-946e-0511c0deac66,Apartamento en Valencia,LOFT ELEGANTE EN PLAZA DEL CARMEN,valencia,78,4.47,238,3,0,1
/rooms/841451498938646545?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-14&check_out=2024-01-19&source_impression_id=p3_1705000523_tn7aBkF8734xk%2B8x&previous_page_section_name=1000&federated_search_id=e6c6f086-d4a6-4cd6-839b-b66a2b056922,Apartamento en Valencia,Parc Central loft. Ruzafa.,valencia,81,4.95,44,3,0,1
/rooms/895548813983540640?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-18&check_out=2024-01-23&source_impression_id=p3_1705000523_F8EmW29gGaJ2K0%2Bs&previous_page_section_name=1000&federated_search_id=e6c6f086-d4a6-4cd6-839b-b66a2b056922,Vivienda en Valencia,Casa acogedora típica valenciana,valencia,80,4.8,40,3,1,0
/rooms/18624094?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-14&check_out=2024-01-19&source_impression_id=p3_1705000523_4dq2cw%2FAUJpjWFL9&previous_page_section_name=1000&federated_search_id=e6c6f086-d4a6-4cd6-839b-b66a2b056922,Apartamento en Valencia,DÚPLEX DE LUJO EN EL CASCO ANTIGUO CON APARCAMIENTO GRATUITO,valencia,155,4.9,348,3,0,1
/rooms/45683832?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-05-20&check_out=2024-05-25&source_impression_id=p3_1705000523_zhCuRA8Dubh59chp&previous_page_section_name=1000&federated_search_id=e6c6f086-d4a6-4cd6-839b-b66a2b056922,Apartamento en Valencia,Acogedor Loft en Ciutal vella de Valencia,valencia,77,4.86,101,3,1,0
/rooms/17301063?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-21&check_out=2024-01-26&source_impression_id=p3_1705000523_pFPOoz5v6Dn2OICz&previous_page_section_name=1000&federated_search_id=e6c6f086-d4a6-4cd6-839b-b66a2b056922,Apartamento en Valencia,Moderno apartamento en el parque de cabecera!!,valencia,67,4.82,418,3,1,0
/rooms/34038526?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-14&check_out=2024-01-19&source_impression_id=p3_1705000523_gPmlVFd2AkoQ7GRv&previous_page_section_name=1000&federated_search_id=e6c6f086-d4a6-4cd6-839b-b66a2b056922,Apartamento en Valencia,LOFT ELEGANTE EN PLAZA DEL CARMEN,valencia,78,4.47,238,3,0,1
/rooms/22407628?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-22&check_out=2024-01-27&source_impression_id=p3_1705000523_87qCsLGHKQnxy0z%2B&previous_page_section_name=1000&federated_search_id=e6c6f086-d4a6-4cd6-839b-b66a2b056922,Apartamento en Valencia,Apartamento soleado en el corazón de Valencia,valencia,127,4.81,221,3,1,0
/rooms/33680681?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-20&check_out=2024-01-26&source_impression_id=p3_1705000523_FsxYFa%2Fz10b5Xeki&previous_page_section_name=1000&federated_search_id=e6c6f086-d4a6-4cd6-839b-b66a2b056922,Apto. residencial en Alboraia,BONITO APARTAMENTO  PRIMERA LINEA PLAYA PATACONA,valencia,94,4.97,37,3,1,0
/rooms/51013468?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-11&check_out=2024-01-16&source_impression_id=p3_1705000523_dDa53iGDw4MbMXXX&previous_page_section_name=1000&federated_search_id=e6c6f086-d4a6-4cd6-839b-b66a2b056922,Apto. residencial en Port Sa Platja,Precioso apartamento en la Pequeña Venecia,valencia,112,4.87,71,3,1,0
/rooms/37928764?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-24&check_out=2024-01-29&source_impression_id=p3_1705000523_4gIKw9MPvSc7aCA8&previous_page_section_name=1000&federated_search_id=e6c6f086-d4a6-4cd6-839b-b66a2b056922,Loft en Valencia,Loft Apartamento duplex Valencia - parking Gratis,valencia,99,4.91,496,3,1,0
