url,name,header,rating_n_reviews,price,superhost,ciudad
/rooms/41235338?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-02-11&check_out=2024-02-16&source_impression_id=p3_1705000414_oYrVN82BvzyQS4VD&previous_page_section_name=1000&federated_search_id=41cfbe0b-cc29-4ce9-a858-e610113192ef,Apartamento en Madrid,"Aeropuerto, Wanda ,Plastaunio, wifi, Ifema, Cun","4,82 (158)",84 € por noche,Anfitrión particular,Madrid
/rooms/1289823?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-28&check_out=2024-02-02&source_impression_id=p3_1705000414_iT1Wp5%2BSgeZGuZlG&previous_page_section_name=1000&federated_search_id=41cfbe0b-cc29-4ce9-a858-e610113192ef,Loft en Madrid,Loft de Octavio: Wifi/2 baños/AA,"4,59 (271)",73 € por noche,Anfitrión particular,Madrid
/rooms/52876433?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-11&check_out=2024-01-16&source_impression_id=p3_1705000414_fQngfr2J%2BIuuo6WY&previous_page_section_name=1000&federated_search_id=41cfbe0b-cc29-4ce9-a858-e610113192ef,Apartamento en Madrid,Increíble Gran Vía,"4,79 (72)","89 € por noche, inicialmente 112 €",Anfitrión particular,Madrid
/rooms/889283971711447634?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-03-08&check_out=2024-03-13&source_impression_id=p3_1705000414_ua5n%2BCezUnGqzjVx&previous_page_section_name=1000&federated_search_id=41cfbe0b-cc29-4ce9-a858-e610113192ef,Apartamento en Madrid,Apartamento Colombia II,"4,8 (51)",78 € por noche,Anfitrión particular,Madrid
/rooms/765052618974706482?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1612610397&check_in=2024-01-21&check_out=2024-01-26&source_impression_id=p3_1705000414_zZRZybwlcUmWcFYp&previous_page_section_name=1000&federated_search_id=41cfbe0b-cc29-4ce9-a858-e610113192ef,Habitación en Madrid,Cómoda y nueva habitación! Aeropuerto y Centro,"4,9 (49)",", ",Quédate con Sofi,Madrid
/rooms/671385858900803200?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-14&check_out=2024-01-19&source_impression_id=p3_1705000414_sTBT6ZY4W%2F25u1H5&previous_page_section_name=1000&federated_search_id=41cfbe0b-cc29-4ce9-a858-e610113192ef,Apartamento en Madrid,Moderno apartamento en Aravaca- 55m2,"4,67 (30)","80 € por noche, inicialmente 109 €",Anfitrión particular,Madrid
/rooms/984686539821230687?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1743651415&check_in=2024-01-14&check_out=2024-01-19&source_impression_id=p3_1705000414_xDHvtd3UUIRgeqaE&previous_page_section_name=1000&federated_search_id=41cfbe0b-cc29-4ce9-a858-e610113192ef,Habitación en Getafe,Habitación privada en Madrid 1,"4,4 (15)",", ",Quédate con Daniel,Madrid
/rooms/605012123499045765?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1393489548&check_in=2024-01-21&check_out=2024-01-26&source_impression_id=p3_1705000414_r7dQfiHUM3y%2Fdazd&previous_page_section_name=1000&federated_search_id=41cfbe0b-cc29-4ce9-a858-e610113192ef,Habitación en Madrid,Relax para 1 persona,"4,78 (112)",", ",Quédate con Nelli,Madrid
/rooms/52221901?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-14&check_out=2024-01-19&source_impression_id=p3_1705000414_9xbEyZbFBilivsEY&previous_page_section_name=1000&federated_search_id=41cfbe0b-cc29-4ce9-a858-e610113192ef,Apto. residencial en Madrid,Estupendo apartamento a 15 minutos del Retiro.,"4,73 (90)",79 € por noche,Anfitrión particular,Madrid
/rooms/52735095?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1592816391&check_in=2024-01-23&check_out=2024-01-28&source_impression_id=p3_1705000414_DI7vvxz5Le1gwOka&previous_page_section_name=1000&federated_search_id=41cfbe0b-cc29-4ce9-a858-e610113192ef,Habitación en Madrid,Habitación privada individual Alameda de Osuna,"4,6 (230)",", ",Quédate con Juan Carlos,Madrid
/rooms/52361630?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-02-04&check_out=2024-02-09&source_impression_id=p3_1705000414_66bEpRFStjqQmZ7i&previous_page_section_name=1000&federated_search_id=41cfbe0b-cc29-4ce9-a858-e610113192ef,Apartamento en Madrid,Apartamento La Elipa Ventas Puerta del Sol Retiro,"4,65 (110)",62 € por noche,Anfitrión particular,Madrid
/rooms/619409985252566269?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1393442067&check_in=2024-01-21&check_out=2024-01-26&source_impression_id=p3_1705000416_mWkqt84eeNkGtmE5&previous_page_section_name=1000&federated_search_id=e26b2f14-029b-4277-94c8-a8b1dbf15f9a,Habitación en Usera,Habitación pequeño con zona verde,"4,64 (115)",", ",Quédate con Larissa,Madrid
/rooms/38197609?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-02-05&check_out=2024-02-10&source_impression_id=p3_1705000416_XbgcJLR8ckfdVYVm&previous_page_section_name=1000&federated_search_id=e26b2f14-029b-4277-94c8-a8b1dbf15f9a,Apartamento en Chamartín,Bigfoot Pax en Madrid cerca del Bernabeu,"4,9 (120)","92 € por noche, inicialmente 100 €",Anfitrión particular,Madrid
/rooms/50688191?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-28&check_out=2024-02-02&source_impression_id=p3_1705000416_mPkd1nEih8GsdjKX&previous_page_section_name=1000&federated_search_id=e26b2f14-029b-4277-94c8-a8b1dbf15f9a,Apto. residencial en Hortaleza,Precioso estudio en Madrid,"4,7 (109)","61 € por noche, inicialmente 71 €",Anfitrión profesional,Madrid
/rooms/52735095?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1592816391&check_in=2024-01-23&check_out=2024-01-28&source_impression_id=p3_1705000416_7dRTC7yXbqFhyHjM&previous_page_section_name=1000&federated_search_id=e26b2f14-029b-4277-94c8-a8b1dbf15f9a,Habitación en Barajas,Habitación privada individual Alameda de Osuna,"4,6 (230)",", ",Quédate con Juan Carlos,Madrid
/rooms/963494451147451241?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-16&check_out=2024-01-21&source_impression_id=p3_1705000416_k%2FABL7mdCLWCMcs5&previous_page_section_name=1000&federated_search_id=e26b2f14-029b-4277-94c8-a8b1dbf15f9a,Vivienda en Mirasierra,Apartamento acogedor montecarmelo,"4,82 (11)",103 € por noche,Anfitrión particular,Madrid
/rooms/46921827?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-11&check_out=2024-01-16&source_impression_id=p3_1705000416_LApGEKs1TDIuFIHy&previous_page_section_name=1000&federated_search_id=e26b2f14-029b-4277-94c8-a8b1dbf15f9a,Apartamento en El Pilar,"DE MADRID AL CIELO (BARRIO EL PILAR, Calle Bañeza)","4,92 (72)",108 € por noche,Anfitrión particular,Madrid
/rooms/33854794?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-02-20&check_out=2024-02-25&source_impression_id=p3_1705000416_yYxxlYiYLks%2Bo2uR&previous_page_section_name=1000&federated_search_id=e26b2f14-029b-4277-94c8-a8b1dbf15f9a,Alojamiento en Moncloa - Argüelles,Habitación doble con terraza y baño privado.,"4,83 (161)",46 € por noche,Anfitrión particular,Madrid
/rooms/1008732106052929842?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-14&check_out=2024-01-19&source_impression_id=p3_1705000416_U5fnOWawKB%2ByT4nY&previous_page_section_name=1000&federated_search_id=e26b2f14-029b-4277-94c8-a8b1dbf15f9a,Alojamiento en Barajas,Habitación: IFEMA y el aeropuerto,"4,84 (19)",39 € por noche,Anfitrión particular,Madrid
/rooms/217674?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-28&check_out=2024-02-02&source_impression_id=p3_1705000416_i7iWwBuEhJI4urWZ&previous_page_section_name=1000&federated_search_id=e26b2f14-029b-4277-94c8-a8b1dbf15f9a,Apartamento en Centro Madrid,PLAZA MAYOR XVIc. ÁTICO DÚPLEX TERRAZA EN AZOTEA,"4,84 (308)","149 € por noche, inicialmente 324 €",Anfitrión profesional,Madrid
/rooms/1009444371398077730?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-02-04&check_out=2024-02-09&source_impression_id=p3_1705000416_NUM5MM%2Fz%2BYG9niqJ&previous_page_section_name=1000&federated_search_id=e26b2f14-029b-4277-94c8-a8b1dbf15f9a,Loft en Salamanca,Exclusivo piso Barrio Salamanca.,"5,0 (10)",86 € por noche,Anfitrión particular,Madrid
