apartment_id,name,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month,city,insert_date,bookable_False,bookable_True,mes,Estacion
923140,PENTHOUSE with Lovely Terrace,4,1,2,2,130,3,60,0,18,48,323,121,99,10,10,10,10,10,10,1.61,madrid,2019-11-09,1,0,11,otoño
32812006,BRAND NEW!  Large room in a spacious Duplex,2,1,1,1,25,3,7,10,10,10,10,7,94,9,9,9,10,9,9,1.06,valencia,2019-09-30,0,1,9,verano
640268,**Nice  and relax Couple Room**,2,1,1,1,38,2,1125,8,38,68,343,4,100,10,10,10,10,10,10,0.06,barcelona,2018-07-10,1,0,7,verano
23390169,MOBILE WORLD CONGRESS ROOM,1,1,1,1,100,1,7,0,0,0,0,1,100,10,8,10,10,10,10,0.18,barcelona,2018-08-14,0,1,8,verano
27300849,Céntrico Apartamento Valencia - City Center Loft,4,1,1,1,69,2,45,8,16,24,84,7,91,10,10,10,9,10,9,0.73,valencia,2019-09-01,1,0,9,verano
18412722,Loft muy comodo y bien situado,2,2,1,2,60,2,15,16,32,62,152,74,97,10,9,10,10,9,10,2.91,madrid,2019-06-07,0,1,6,primavera
15968763,Apartamento con Encanto en el Barrio de Salamanca,7,1,2,7,170,2,14,0,0,0,0,5,90,9,9,9,9,10,9,0.16,madrid,2019-08-12,1,0,8,verano
3454239,BARCELONA | APT WITH 2 BALCONIES¦,6,2,2,3,74,3,30,29,47,47,50,12,97,10,10,10,10,10,9,0.49,barcelona,2020-10-12,0,1,10,otoño
11519240,"_CENTRIC ROOM IN RUZAFA, VALENCIA_",1,1,1,1,29,2,10,30,60,90,90,77,99,10,10,10,10,10,10,1.36,valencia,2020-11-10,0,1,11,otoño
3478893,AMAZING APT IN CENTRE MADRID - WIFI,4,1,2,3,75,2,1125,0,0,0,74,187,90,9,9,9,9,10,8,3.57,madrid,2019-01-14,0,1,1,invierno
34670875,Habitación y baño exclusivo para huéspedes en Goya,2,2,1,1,49,2,1125,28,58,88,178,10,92,10,9,9,9,10,10,0.55,madrid,2020-12-17,1,0,12,otoño
21471897,Bailey's Barcelona!!,2,1,1,1,50,2,1125,26,56,86,87,2,100,10,10,10,10,9,9,0.16,barcelona,2019-04-10,1,0,4,primavera
14074210,HABITACIÓN DOBLE en zona modernista de BCN,1,1,1,1,30,14,1125,0,19,49,49,4,100,10,10,10,10,10,10,0.35,barcelona,2017-07-06,1,0,7,verano
15467299,Cozy room near main highlights of the City.,1,1,1,1,25,2,60,30,46,46,46,84,97,10,10,10,10,10,10,2.06,barcelona,2020-03-16,1,0,3,invierno
23782890,Large flat for groups to enjoy Madrid,5,2,3,3,120,3,20,0,0,0,0,47,84,9,8,9,9,10,9,3.52,madrid,2019-07-10,0,1,7,verano
3943443,Big Double Room with Nice Balcony,2,2,1,1,35,6,30,0,0,0,0,4,95,10,9,10,10,10,9,0.08,barcelona,2018-08-14,1,0,8,verano
10672160,2BR Born area 5 min to Pl Catalunya,6,1,2,2,102,5,1125,1,2,18,293,38,84,9,9,9,10,9,8,2.16,barcelona,2017-07-06,0,1,7,verano
21971229,AB Sagrada Familia 5 - Ref. GI2589,3,1,1,2,121,3,330,27,55,77,339,35,90,9,9,8,9,10,9,1.21,barcelona,2020-05-11,0,1,5,primavera
7337595,Comfortable flat Barcelona center,4,1,1,2,95,3,1125,24,51,71,326,55,94,10,10,10,10,9,9,2.93,barcelona,2017-02-09,0,1,2,invierno
17505545,Room1 - Guest say : is a dream in Barcelona,2,1,1,1,70,1,7,14,29,29,29,19,97,10,10,10,10,10,9,1.95,barcelona,2018-01-17,1,0,1,invierno
25769801,Apartamento amplio y acogedor,6,1,3,3,55,2,1125,20,44,73,340,65,96,10,10,10,10,8,9,4.16,valencia,2019-09-30,0,1,9,verano
24816210,BRIGHT AND COZY APARTMENT | SOL - GRAN VIA,4,1,1,1,55,2,1125,0,0,0,0,17,95,10,10,10,10,10,10,3.27,madrid,2018-10-10,0,1,10,otoño
9250389,Lovely & bright Vila Olimpica beach apartment,4,1,1,1,99,2,120,0,0,0,227,120,96,10,10,10,10,10,9,2.36,barcelona,2020-10-12,0,1,10,otoño
814174,Apartamento entero en estación AVE Valencia,2,1,1,1,32,4,5,27,57,87,177,84,96,10,9,10,10,10,10,1.45,valencia,2020-12-21,1,0,12,otoño
21245032,HABITACIÓN-SALÓN PRIVADO EN PLENO CENTRO DE MADRID,2,1,1,1,41,2,1125,21,51,81,81,8,95,10,9,10,10,10,9,2.96,madrid,2018-01-17,0,1,1,invierno
1361784,Nice Bedroom terrace _ BCN CENTER,1,1,1,1,30,2,7,6,6,6,6,19,96,9,10,10,10,9,10,0.44,barcelona,2017-03-06,1,0,3,invierno
20071436,"Modern New 2 bedroom, own entrance, patio & views!",4,1,2,3,69,3,90,0,8,18,23,11,98,10,10,10,10,9,10,0.99,barcelona,2018-07-10,1,0,7,verano
20081814,Double bed in Center with private bathroom,2,1,1,1,50,5,32,0,0,22,22,4,95,10,8,10,10,10,9,0.76,barcelona,2018-01-17,0,1,1,invierno
31381515,GOOD HOME (CLOT),4,2,4,4,75,32,1125,0,0,7,282,2,90,10,9,10,9,10,9,0.27,barcelona,2019-11-09,0,1,11,otoño
27702437,BNBHolder Cute MALASAÑA,4,1,1,1,45,1,1125,10,26,54,135,15,99,10,10,9,10,10,10,1.26,madrid,2019-08-12,0,1,8,verano
12869712,1 STEP FROM PUERTA DEL SOL - 2 FROM PLAZA MAYOR,6,2,2,3,89,1,1125,2,4,8,239,59,99,10,10,10,10,10,10,2.56,madrid,2018-04-12,0,1,4,primavera
31550087,Central 1 bedroom flat ATOCHA STATION,2,1,1,1,60,1,1125,0,0,0,0,4,100,10,10,10,10,9,9,0.56,madrid,2019-09-19,1,0,9,verano
33115207,Cosy room IE Airport and City center,1,1,1,1,24,2,4,0,0,0,0,10,98,10,10,10,10,10,10,0.73,madrid,2020-05-14,0,1,5,primavera
14569945,"Madrid, City Center, Super Bright Designer Unit",4,2,2,2,103,3,1125,8,10,26,195,92,98,10,10,10,10,10,10,2.84,madrid,2019-05-14,1,0,5,primavera
34440721,"PLAZA MAYOR H-Cozy, new flat in Plaza Mayor",4,1,1,2,37,1,1125,26,56,86,177,4,80,10,10,10,9,10,9,0.25,madrid,2020-08-25,0,1,8,verano
32781873,HABITACION MOVIDA RUZAFA,2,1,1,1,40,3,30,3,3,3,3,2,80,6,8,10,9,10,8,0.81,valencia,2019-05-31,0,1,5,primavera
11524615,Single Room with bathroom,1,1,1,1,40,5,1125,27,57,87,362,161,98,10,10,10,10,10,10,2.98,barcelona,2020-09-12,0,1,9,verano
5854424,Habitación Primavera sound. 2017 Barcelona,2,1,1,1,57,3,7,21,51,81,81,3,70,8,6,7,8,7,6,0.43,barcelona,2017-07-06,0,1,7,verano
41834707,Bright Apartment Near Sagrada Familia,5,1,1,3,180,3,1125,7,34,64,64,1,100,10,10,10,10,10,10,1.0,barcelona,2020-03-16,0,1,3,invierno
20945095,Habitación doble con balcon.,2,1,1,1,30,30,1125,0,0,22,297,16,81,9,8,10,9,10,8,0.99,barcelona,2019-01-14,1,0,1,invierno
6928805,Habitación doble con balcón - home sharing,4,1,1,2,80,1,20,30,60,90,365,21,98,10,10,10,10,10,10,1.03,barcelona,2018-11-07,1,0,11,otoño
1672204,"Sunny 1-bedroom in Eixample, Barcelona!",4,1,1,1,90,4,90,28,50,60,210,83,90,10,9,9,10,10,9,1.13,barcelona,2020-05-11,1,0,5,primavera
34193630,Penthouse 2 Atocha 7 pax 2bd2bth,7,2,2,4,65,2,1125,21,51,81,261,15,100,10,10,10,10,10,10,3.38,madrid,2019-10-16,0,1,10,otoño
20260134,Flat in center near beach and ramblas,2,1,1,1,72,1,33,11,11,11,11,7,83,8,9,8,8,10,9,0.65,barcelona,2018-07-10,1,0,7,verano
32185826,ÁTICO DE LUJO PARA 10 - PL ESPANYA - 075,10,3,4,7,240,2,300,0,0,0,0,13,92,9,9,9,10,10,9,0.65,barcelona,2020-10-12,0,1,10,otoño
1287567,New apartment and sunny - Wifi,8,2,3,6,88,3,30,7,23,42,42,58,98,10,10,10,10,9,10,0.97,madrid,2018-10-10,0,1,10,otoño
