nombre,precio_por_noche,review,rating,ciudad,Precio_casa,numero_noches
-HABITACION AMPLIA Lovely Chic-,40,7,94,madrid,152465,90
Hab. tranquila y luminosa Sarriá.,40,49,92,barcelona,197152,100
Casa monroy B,15,6,100,madrid,152465,90
Cosy and Luxury Apartment in Chamberí,175,9,98,madrid,152465,90
2 pièces 2 personnes Standard 165094,70,2,100,madrid,152465,90
"ROYAL PALACE, OPERA, PLAZA MAYOR, LATINA, SOL",82,126,94,madrid,152465,90
Duplex 1 bd Chueca/ Gran via WIFI,500,6,93,madrid,152465,90
Con mucho encanto!! En el centro de Barcelona.,49,24,98,barcelona,197152,100
Very sunny central two bedrooms flat,77,12,88,madrid,152465,90
Bedroom with king bed and balcony.,25,152,88,barcelona,197152,100
Cozy Apartment SPB132388,60,110,95,barcelona,197152,100
Apartamento Durán,180,1,100,madrid,152465,90
Комната,20,3,93,valencia,196697,45
"2.Gaudi Ensuite Bath, Aircon, Ramblas, Double bed",150,1,80,barcelona,197152,100
Rustic Gaudí - Sagrada Família,59,77,89,barcelona,197152,100
Alojamiento madrid,32,3,100,madrid,152465,90
Piso en Barceloneta con vistas,50,1,100,barcelona,197152,100
"Nice Apartment in Cabañal, in front of the beach.",175,3,87,valencia,196697,45
"""Atico Lavanda"" VT-39967-V",59,68,98,valencia,196697,45
Awsome apartment in Malasaña next to Plaza España,70,42,96,madrid,152465,90
Stylish apartment B near Plaza cat,190,272,98,barcelona,197152,100
"Perfectly Located apartment, next to Everything!",63,5,96,barcelona,197152,100
Charming apartment. Central / modern. Amparo,62,29,93,madrid,152465,90
Habitación privada en Lista 2,18,7,94,madrid,152465,90
Quiet apartment in La Latina next to Plaza Mayor,300,197,96,madrid,152465,90
Room Sagrada Familia,60,10,83,barcelona,197152,100
Charming double bedroom with bathroom in Chamartin,45,84,98,madrid,152465,90
Luxury in Recoletos a great location,135,2,60,madrid,152465,90
Room with air conditioning and terrace,25,45,82,barcelona,197152,100
Brand new penthouse with amazing city views,172,1,100,barcelona,197152,100
"Cozy double bedroom, in central Barcelona",24,3,87,barcelona,197152,100
Impresionante lujo en la mejor finca de Madrid,77,10,98,madrid,152465,90
Big room with private bathroom-BCN,62,9,84,barcelona,197152,100
Room in charming apartment in the heart of Gràcia,30,1,100,barcelona,197152,100
Monthly 1 bdrm apartment with balcony in Eixample,65,3,93,barcelona,197152,100
HERMOSA HABITACION CON BALCON,43,66,95,barcelona,197152,100
Clean & cozy Private room with A/C and bathroom,85,29,98,barcelona,197152,100
En el mar,100,1,100,valencia,196697,45
Coqueto apartamento en la calle del rastro,58,3,87,madrid,152465,90
Cosy City locacion,28,30,89,barcelona,197152,100
Junto a la playa de la Malvarrosa,70,77,95,valencia,196697,45
Wide and cosy apartment in the heart of Malasaña,204,41,98,madrid,152465,90
